kunta,hyvinvointialue,oma_uutisvirta,paikallislehti_syotteet,kunnan_uutisvirrat,hyvinvointialueen_uutisvirta,luokitus
Ruovesi,Pirkanmaan hyvinvointialue,kyllä,,Ruovesi uutiset (https://www.ruovesi.fi/tiedotteet?rss=true),Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Rusko,Varsinais-Suomen hyvinvointialue,kyllä,,Rusko uutiset (https://rusko.fi/feed/),Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Rääkkylä,Pohjois-Karjalan hyvinvointialue,kyllä,Kotiseutu-uutiset (https://kotiseutu-uutiset.com/feed/),Rääkkylä uutiset (https://www.raakkyla.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),own-news-flow
Saarijärvi,Keski-Suomen hyvinvointialue,kyllä,Sampo (https://www.sampolehti.fi/feed/rss/),,Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Salla,Lapin hyvinvointialue,kyllä,,Salla uutiset (https://www.salla.fi/feed/),Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),own-news-flow
Salo,Varsinais-Suomen hyvinvointialue,kyllä,Perniönseudun Lehti (https://www.pernionseudunlehti.fi/feed/rss/),,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Saltvik,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Sastamala,Pirkanmaan hyvinvointialue,kyllä,,Sastamala uutiset (https://sastamala.fi/feed/),Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Sauvo,Varsinais-Suomen hyvinvointialue,kyllä,Kunnallislehti Paimio-Sauvo-Kaarina (https://www.kuntsari.fi/feed/),,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Savitaipale,Etelä-Karjalan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Karjalan hyvinvointialue (https://www.ekhva.fi/hyvinvointialue/ajankohtaista/),wellbeing-area-news-only
Savonlinna,Etelä-Savon hyvinvointialue,kyllä,Puruvesi (https://www.puruvesi.net/feed/rss/),Savonlinna uutiset (https://www.savonlinna.fi/feed/),Hyvinvointialueen uutiset: Etelä-Savon hyvinvointialue (https://etelasavonha.fi/eloisa/uutiset/),own-news-flow
Savukoski,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Seinäjoki,Etelä-Pohjanmaan hyvinvointialue,kyllä,,Seinäjoki uutiset (https://www.seinajoki.fi/feed/),Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),own-news-flow
Sievi,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Sievi uutiset (https://www.sievi.fi/rss.xml),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Siikainen,Satakunnan hyvinvointialue,kyllä,,Siikainen uutiset (https://siikainen.fi/feed/),Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Siikajoki,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Siikajoki uutiset (https://www.siikajoki.fi/rss.xml),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Siikalatva,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Siikalatva uutiset (https://siikalatva.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Siilinjärvi,Pohjois-Savon hyvinvointialue,kyllä,,Siilinjärvi uutiset (https://siilinjarvi.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Simo,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Sipoo,Itä-Uudenmaan hyvinvointialue,kyllä,,Sipoo uutiset (https://www.sipoo.fi/feed/),Hyvinvointialueen uutiset: Itä-Uudenmaan hyvinvointialue (https://itauusimaa.fi/ajankohtaista/),own-news-flow
Siuntio,Länsi-Uudenmaan hyvinvointialue,kyllä,,Siuntio uutiset (https://www.siuntio.fi/feed/),Hyvinvointialueen uutiset: Länsi-Uudenmaan hyvinvointialue (https://www.luvn.fi/fi/haku?q=&type=news),own-news-flow
Sodankylä,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Soini,Etelä-Pohjanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),wellbeing-area-news-only
Somero,Varsinais-Suomen hyvinvointialue,kyllä,Somero (lehti) (https://www.somerolehti.fi/feed/),,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Sonkajärvi,Pohjois-Savon hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),wellbeing-area-news-only
Sotkamo,Kainuun hyvinvointialue,kyllä,Sotkamo-lehti (https://www.sotkamolehti.fi/feed),,Hyvinvointialueen uutiset: Kainuun hyvinvointialue (https://hyvinvointialue.kainuu.fi/tiedotteet),own-news-flow
Sottunga,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Sulkava,Etelä-Savon hyvinvointialue,kyllä,Sulkava-lehti (https://sulkavalehti.fi/feed/),,Hyvinvointialueen uutiset: Etelä-Savon hyvinvointialue (https://etelasavonha.fi/eloisa/uutiset/),own-news-flow
Sund,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Suomussalmi,Kainuun hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Kainuun hyvinvointialue (https://hyvinvointialue.kainuu.fi/tiedotteet),wellbeing-area-news-only
Suonenjoki,Pohjois-Savon hyvinvointialue,kyllä,Paikallislehti Sisä-Savo (https://www.sisa-savolehti.fi/feed/rss/),Suonenjoki uutiset (https://suonenjoki.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Sysmä,Päijät-Hämeen hyvinvointialue,kyllä,,Sysmä uutiset (https://sysma.fi/feed/),Hyvinvointialueen uutiset: Päijät-Hämeen hyvinvointialue (https://paijatha.fi/ajankohtaista/),own-news-flow
