"Osio","Kategoria","Nimi","NykyinenURL","HttpsURL","HttpsToimii","HTTP","LopullinenURL","Huomio"
"Palvelukategoriat","Teatterit","Tanssiteatteri MD","http://www.tanssiteatterimd.fi/","https://www.tanssiteatterimd.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Teatteri Imatra","http://www.teatteri-imatra.fi/","https://www.teatteri-imatra.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Teatteri Eurooppa Neljä","http://www.teatterieurooppanelja.fi/","https://www.teatterieurooppanelja.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Teatteri Mukamas","http://www.teatterimukamas.com/","https://www.teatterimukamas.com/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Teatteri Vantaa","http://www.teatterivantaa.fi/","https://www.teatterivantaa.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Tejuka","http://www.tejuka-lehti.fi","https://www.tejuka-lehti.fi","True","200",,"GET ok"
"Palvelukategoriat","Teatterit","Tanssiteatteri Tsuumi","http://www.tsuumi.com/?lang=fi","https://www.tsuumi.com/?lang=fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Tampereen Työväen Teatteri","http://www.ttt-teatteri.fi","https://www.ttt-teatteri.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Turun Tienoo","http://www.turuntienoo.fi/","https://www.turuntienoo.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Unga Teatern","http://www.ungateatern.fi/","https://www.ungateatern.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Urjalan Sanomat","http://www.urjalansanomat.fi/","https://www.urjalansanomat.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Uudenkaupungin Sanomat","http://www.uudenkaupunginsanomat.fi/","https://www.uudenkaupunginsanomat.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Vaarojen Sanomat","http://www.vaarojensanomat.fi","https://www.vaarojensanomat.fi","True","200",,"GET ok"
"Palvelukategoriat","Teatterit","Vaasan kaupunginteatteri","http://www.vaasankaupunginteatteri.fi/","https://www.vaasankaupunginteatteri.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Varkauden Teatteri","http://www.varkaudenteatteri.fi/","https://www.varkaudenteatteri.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Kylänraitti","http://www.veikkola.net","https://www.veikkola.net","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Viiskunta","http://www.viiskunta.fi","https://www.viiskunta.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Viitasaaren Seutu","http://www.viitasaarenseutu.fi/","https://www.viitasaarenseutu.fi/","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Wasa Teater","http://www.wasateater.fi/","https://www.wasateater.fi/","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Ylä-Kainuu","http://www.ylakainuu.fi","https://www.ylakainuu.fi","True","200",,"HEAD ok"
"Palvelukategoriat","Teatterit","Zodiak – Uuden tanssin keskus","http://www.zodiak.fi","https://www.zodiak.fi","True","200",,"HEAD ok"
"Lehdet","Suomalaiset paikallislehdet","Ylöjärven Uutiset","http://ylojarvenuutiset.fi/","https://ylojarvenuutiset.fi/","True","200",,"HEAD ok"
