"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Osumat"
"12.5.2026 klo 09.11","espoo","korkea","200","Liikuntaneuvonta","https://www.espoo.fi/fi/liikunta-ja-luonto/liikuntaryhmat-ja-kurssit/liikuntaneuvonta","https://www.espoo.fi","200","liikuntaryhm; soveltava liikunta; liikuntaneuvonta"
"12.5.2026 klo 09.11","eura","korkea","330","Liikuntaryhmät","https://www.eura.fi/kulttuuri-ja-vapaa-aika/liikunta/kuntoilu-ja-ikaihmisten-liikunta/kuntoliikuntaryhmat/","https://www.eura.fi/","200","liikuntaryhm; ikäihmisten liikunta; tuolijumppa; jumppa; terveysliikunta; liikuntaneuvonta; liikuntapalvelut"
"12.5.2026 klo 09.11","eurajoki","ei löytynyt","0","","","https://www.eurajoki.fi/","403",""
"12.5.2026 klo 09.11","evijärvi","ei löytynyt","0","","","https://evijarvi.fi/","200",""
"12.5.2026 klo 09.11","finström","ei löytynyt","0","","","https://www.finstrom.ax/","200",""
"12.5.2026 klo 09.11","forssa","korkea","410","LiikuntaPALVELUIDEN j&auml;rjest&auml;m&auml;t Liikuntaryhm&auml;t eri kohderyhmille","https://www.forssa.fi/vapaa-aika-ja-matkailu/liikunta/liikuntaryhmat/","https://www.forssa.fi/","200","liikuntaryhm; ikäihmisten liikunta; tuolijumppa; jumppa; soveltava liikunta; erityisliikunta; liikuntaneuvonta; liikuntapalvelut"
"12.5.2026 klo 09.11","föglö","ei löytynyt","0","","","https://www.foglo.ax/","200",""
"12.5.2026 klo 09.11","geta","ei löytynyt","0","","","https://www.geta.ax/","200",""
"12.5.2026 klo 09.11","haapajärvi","korkea","150","Jumppaohjeita kuntalaisille","https://www.haapajarvi.fi/jumppaohjeita-kuntalaisille","https://www.haapajarvi.fi/","200","tuolijumppa; jumppa; liikuntaneuvonta; senior"
"12.5.2026 klo 09.11","haapavesi","ei löytynyt","0","","","https://haapavesi.fi/","TypeError",""
"12.5.2026 klo 09.11","hailuoto","korkea","135","Senioriliikunta","https://hailuoto.fi/liikunta/senioriliikunta/","https://hailuoto.fi/","200","senioriliikunta; jumppa; senior"
"12.5.2026 klo 09.11","halsua","matala","40","HALSUAN KUNTA","https://halsua.fi/liikuntaneuvonta/","https://halsua.fi/","200","liikuntaneuvonta"
"12.5.2026 klo 09.11","hamina","korkea","245","Liikuntaryhmät","https://www.hamina.fi/hyvinvointi-vapaa-aika/liikkuva-hamina/liikuntapalvelut/liikuntaryhmat/","https://www.hamina.fi/","200","liikuntaryhm; vesijumppa; jumppa; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","hammarland","ei löytynyt","0","","","https://www.hammarland.ax/","200",""
"12.5.2026 klo 09.11","hankasalmi","korkea","310","Ohjattu liikunta","https://hankasalmi.fi/kulttuuri-liikunta-ja-nuoret/liikuntapalvelut/ohjattu-liikunta/","https://hankasalmi.fi/","200","ohjattu liikunta; liikuntaryhm; tuolijumppa; jumppa; liikuntaneuvonta; liikuntapalvelut"
"12.5.2026 klo 09.11","hanko","keskitaso","75","Soveltava liikunta","https://hanko.fi/kulttuuri-vapaa-aika-ja-nuoriso/liikunta-ja-urheilu/liikunta/soveltava-liikunta/","https://hanko.fi/","200","soveltava liikunta; liikuntaneuvonta"
"12.5.2026 klo 09.11","harjavalta","ei löytynyt","0","","","https://www.harjavalta.fi/","200",""
"12.5.2026 klo 09.11","hartola","korkea","230","Liikuntaneuvonta ja liikuntaryhmät","https://hartola.fi/matkailu-ja-vapaa-aika/liikunta/liikuntaneuvonta/","https://hartola.fi/","200","liikuntaryhm; tuolijumppa; jumppa; liikuntaneuvonta; liikuntapalvelut"
"12.5.2026 klo 09.11","hattula","korkea","470","Soveltava liikunta","https://hattula.fi/soveltava-liikunta/","https://hattula.fi/","200","liikuntaryhm; senioriliikunta; tuolijumppa; tasapainojumppa; vesijumppa; jumppa; soveltava liikunta; liikuntaneuvonta; liikuntapalvelut; senior"
"12.5.2026 klo 09.11","hausjärvi","ei löytynyt","0","","","https://www.hausjarvi.fi/","500",""
"12.5.2026 klo 09.11","heinola","korkea","470","Ikäihmisten liikunta","https://www.heinola.fi/hyvinvointi-ja-vapaa-aika/liikunta-ja-ulkoilu/ohjattu-liikunta-ja-liikuntaneuvonta/ikaihmisten-liikunta/","https://www.heinola.fi/","200","ohjattu liikunta; liikuntaryhm; ikäihmisten liikunta; tuolijumppa; vesijumppa; jumppa; liikuntaneuvonta; liikunta ja ulkoilu; senior"
